reference,pad,footprint,pcb_x_mm,pcb_y_mm,model_x_mm,model_y_mm,original_diameter_mm,fitcheck_diameter_mm,diameter_compensation_mm
A1,1,Adafruit_5987_Socketed,68.650,59.350,48.650,-39.350,1.00,1.30,0.30
A1,10,Adafruit_5987_Socketed,81.350,51.730,61.350,-31.730,1.00,1.30,0.30
A1,11,Adafruit_5987_Socketed,81.350,49.190,61.350,-29.190,1.00,1.30,0.30
A1,12,Adafruit_5987_Socketed,81.350,46.650,61.350,-26.650,1.00,1.30,0.30
A1,2,Adafruit_5987_Socketed,68.650,56.810,48.650,-36.810,1.00,1.30,0.30
A1,3,Adafruit_5987_Socketed,68.650,54.270,48.650,-34.270,1.00,1.30,0.30
A1,4,Adafruit_5987_Socketed,68.650,51.730,48.650,-31.730,1.00,1.30,0.30
A1,5,Adafruit_5987_Socketed,68.650,49.190,48.650,-29.190,1.00,1.30,0.30
A1,6,Adafruit_5987_Socketed,68.650,46.650,48.650,-26.650,1.00,1.30,0.30
A1,7,Adafruit_5987_Socketed,81.350,59.350,61.350,-39.350,1.00,1.30,0.30
A1,8,Adafruit_5987_Socketed,81.350,56.810,61.350,-36.810,1.00,1.30,0.30
A1,9,Adafruit_5987_Socketed,81.350,54.270,61.350,-34.270,1.00,1.30,0.30
A1,NPTH,Adafruit_5987_Socketed,75.000,45.380,55.000,-25.380,2.70,3.00,0.30
A1,NPTH,Adafruit_5987_Socketed,75.000,60.620,55.000,-40.620,2.70,3.00,0.30
H1,NPTH,MountingHole_3.2mm_M3,24.000,24.000,4.000,-4.000,3.20,3.50,0.30
H2,NPTH,MountingHole_3.2mm_M3,126.000,24.000,106.000,-4.000,3.20,3.50,0.30
H3,NPTH,MountingHole_3.2mm_M3,24.000,76.000,4.000,-56.000,3.20,3.50,0.30
H4,NPTH,MountingHole_3.2mm_M3,126.000,76.000,106.000,-56.000,3.20,3.50,0.30
J1,1,Samtec_SSW-108-01-F-D,84.000,25.000,64.000,-5.000,1.02,1.32,0.30
J1,10,Samtec_SSW-108-01-F-D,73.840,27.540,53.840,-7.540,1.02,1.32,0.30
J1,11,Samtec_SSW-108-01-F-D,71.300,25.000,51.300,-5.000,1.02,1.32,0.30
J1,12,Samtec_SSW-108-01-F-D,71.300,27.540,51.300,-7.540,1.02,1.32,0.30
J1,13,Samtec_SSW-108-01-F-D,68.760,25.000,48.760,-5.000,1.02,1.32,0.30
J1,14,Samtec_SSW-108-01-F-D,68.760,27.540,48.760,-7.540,1.02,1.32,0.30
J1,15,Samtec_SSW-108-01-F-D,66.220,25.000,46.220,-5.000,1.02,1.32,0.30
J1,16,Samtec_SSW-108-01-F-D,66.220,27.540,46.220,-7.540,1.02,1.32,0.30
J1,2,Samtec_SSW-108-01-F-D,84.000,27.540,64.000,-7.540,1.02,1.32,0.30
J1,3,Samtec_SSW-108-01-F-D,81.460,25.000,61.460,-5.000,1.02,1.32,0.30
J1,4,Samtec_SSW-108-01-F-D,81.460,27.540,61.460,-7.540,1.02,1.32,0.30
J1,5,Samtec_SSW-108-01-F-D,78.920,25.000,58.920,-5.000,1.02,1.32,0.30
J1,6,Samtec_SSW-108-01-F-D,78.920,27.540,58.920,-7.540,1.02,1.32,0.30
J1,7,Samtec_SSW-108-01-F-D,76.380,25.000,56.380,-5.000,1.02,1.32,0.30
J1,8,Samtec_SSW-108-01-F-D,76.380,27.540,56.380,-7.540,1.02,1.32,0.30
J1,9,Samtec_SSW-108-01-F-D,73.840,25.000,53.840,-5.000,1.02,1.32,0.30
J2,1,Wurth_618009231121,30.840,55.540,10.840,-35.540,1.09,1.39,0.30
J2,2,Wurth_618009231121,30.840,52.770,10.840,-32.770,1.09,1.39,0.30
J2,3,Wurth_618009231121,30.840,50.000,10.840,-30.000,1.09,1.39,0.30
J2,4,Wurth_618009231121,30.840,47.230,10.840,-27.230,1.09,1.39,0.30
J2,5,Wurth_618009231121,30.840,44.460,10.840,-24.460,1.09,1.39,0.30
J2,6,Wurth_618009231121,28.000,54.155,8.000,-34.155,1.09,1.39,0.30
J2,7,Wurth_618009231121,28.000,51.385,8.000,-31.385,1.09,1.39,0.30
J2,8,Wurth_618009231121,28.000,48.615,8.000,-28.615,1.09,1.39,0.30
J2,9,Wurth_618009231121,28.000,45.845,8.000,-25.845,1.09,1.39,0.30
J2,S1,Wurth_618009231121,29.420,37.500,9.420,-17.500,3.20,3.50,0.30
J2,S2,Wurth_618009231121,29.420,62.500,9.420,-42.500,3.20,3.50,0.30
J3,1,Wurth_618009231221,119.160,55.540,99.160,-35.540,1.04,1.34,0.30
J3,2,Wurth_618009231221,119.160,52.770,99.160,-32.770,1.04,1.34,0.30
J3,3,Wurth_618009231221,119.160,50.000,99.160,-30.000,1.04,1.34,0.30
J3,4,Wurth_618009231221,119.160,47.230,99.160,-27.230,1.04,1.34,0.30
J3,5,Wurth_618009231221,119.160,44.460,99.160,-24.460,1.04,1.34,0.30
J3,6,Wurth_618009231221,122.000,54.155,102.000,-34.155,1.04,1.34,0.30
J3,7,Wurth_618009231221,122.000,51.385,102.000,-31.385,1.04,1.34,0.30
J3,8,Wurth_618009231221,122.000,48.615,102.000,-28.615,1.04,1.34,0.30
J3,9,Wurth_618009231221,122.000,45.845,102.000,-25.845,1.04,1.34,0.30
J3,S1,Wurth_618009231221,120.580,62.500,100.580,-42.500,3.20,3.50,0.30
J3,S2,Wurth_618009231221,120.580,37.500,100.580,-17.500,3.20,3.50,0.30
